timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650007400626,414,Login Into demoblaze,200,OK,Thread Group 1-6,text,true,,272,227,5,5,https://api.demoblaze.com/login,414,0,0
1650007399608,414,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,272,227,5,5,null,414,1019,0
1650007401041,1,Debug Sampler,200,OK,Thread Group 1-6,text,true,,574,0,5,5,null,0,0,0
1650007400854,493,Delete an item,200,OK,Thread Group 1-5,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,493,0,0
1650007401045,328,Add To Cart,400,Bad Request,Thread Group 1-6,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,328,0,0
1650007401348,307,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-5,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,307,0,0
1650007401374,306,Add To Cart,400,Bad Request,Thread Group 1-6,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,306,0,0
1650007401681,319,Add To Cart,400,Bad Request,Thread Group 1-6,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,319,0,0
1650007401656,347,Delete Cart,200,OK,Thread Group 1-5,text,true,,230,202,5,5,https://api.demoblaze.com/deletecart,347,0,0
1650007399609,2387,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-5,,false,,2542,1633,5,5,null,2386,7,0
1650007401593,594,Signup into Demoblaze,200,OK,Thread Group 1-8,text,false,Test failed: text expected not to contain /errorMessage/,281,228,4,4,https://api.demoblaze.com/signup,593,0,272
1650007399583,594,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-8,,false,,281,228,4,4,null,593,2010,272
1650007402001,472,Get Items in Cart,400,Bad Request,Thread Group 1-6,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,471,0,0
1650007401950,523,Login Into demoblaze,200,OK,Thread Group 1-7,text,true,,272,227,5,5,https://api.demoblaze.com/login,522,0,0
1650007400939,523,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,272,227,5,5,null,522,1011,0
1650007402473,1,Debug Sampler,200,OK,Thread Group 1-7,text,true,,609,0,5,5,null,0,0,0
1650007402473,380,Delete an item,200,OK,Thread Group 1-6,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,380,0,0
1650007402476,377,Add To Cart,200,OK,Thread Group 1-7,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,377,0,0
1650007402854,329,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-6,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,329,0,0
1650007402854,438,Add To Cart,200,OK,Thread Group 1-7,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,438,0,0
1650007402923,581,Signup into Demoblaze,200,OK,Thread Group 1-9,text,false,Test failed: text expected not to contain /errorMessage/,281,228,5,5,https://api.demoblaze.com/signup,581,0,268
1650007403184,321,Delete Cart,200,OK,Thread Group 1-6,text,true,,230,202,5,5,https://api.demoblaze.com/deletecart,321,0,0
1650007400909,581,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-9,,false,,281,228,5,5,null,581,2015,268
1650007401042,2455,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-6,,false,,2542,1633,5,5,null,2454,8,0
1650007403190,385,Login Into demoblaze,200,OK,Thread Group 1-8,text,true,,272,227,5,5,https://api.demoblaze.com/login,384,0,0
1650007402188,385,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,272,227,5,5,null,384,1003,0
1650007403576,0,Debug Sampler,200,OK,Thread Group 1-8,text,true,,609,0,5,5,null,0,0,0
1650007403293,368,Add To Cart,200,OK,Thread Group 1-7,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,368,0,0
1650007403579,358,Add To Cart,200,OK,Thread Group 1-8,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,358,0,0
1650007403662,477,Get Items in Cart,200,OK,Thread Group 1-7,text,true,,404,225,5,5,https://api.demoblaze.com/viewcart,477,0,0
1650007403938,382,Add To Cart,200,OK,Thread Group 1-8,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,382,0,0
1650007404140,384,Delete an item,200,OK,Thread Group 1-7,text,true,,230,227,5,5,https://api.demoblaze.com/deleteitem,384,0,0
1650007404321,405,Add To Cart,200,OK,Thread Group 1-8,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,405,0,0
1650007404525,406,Get Items in Cart After deletion,200,OK,Thread Group 1-7,text,true,,227,225,6,6,https://api.demoblaze.com/viewcart,406,0,0
1650007404255,676,Signup into Demoblaze,200,OK,Thread Group 1-10,text,false,Test failed: text expected not to contain /errorMessage/,281,228,6,6,https://api.demoblaze.com/signup,676,0,273
1650007402238,676,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-10,,false,,281,228,6,6,null,676,2018,273
1650007404509,425,Login Into demoblaze,200,OK,Thread Group 1-9,text,true,,272,227,6,6,https://api.demoblaze.com/login,424,0,0
1650007403505,425,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,272,227,6,6,null,424,1005,0
1650007404935,0,Debug Sampler,200,OK,Thread Group 1-9,text,true,,574,0,6,6,null,0,0,0
1650007404727,409,Get Items in Cart,200,OK,Thread Group 1-8,text,true,,481,225,6,6,https://api.demoblaze.com/viewcart,408,0,0
1650007404938,311,Add To Cart,400,Bad Request,Thread Group 1-9,text,false,,409,264,6,6,https://api.demoblaze.com/addtocart,311,0,0
1650007404932,409,Delete Cart,200,OK,Thread Group 1-7,text,true,,230,202,6,6,https://api.demoblaze.com/deletecart,409,0,0
1650007402474,2859,Purchase Items - Transaction Controller,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-7,,true,,1754,1731,6,6,null,2859,8,0
1650007405136,355,Delete an item,200,OK,Thread Group 1-8,text,true,,230,227,5,5,https://api.demoblaze.com/deleteitem,355,0,0
1650007405250,349,Add To Cart,400,Bad Request,Thread Group 1-9,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,349,0,0
1650007405492,371,Get Items in Cart After deletion,200,OK,Thread Group 1-8,text,true,,404,225,5,5,https://api.demoblaze.com/viewcart,371,0,0
1650007405600,354,Add To Cart,400,Bad Request,Thread Group 1-9,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,354,0,0
1650007405583,679,Signup into Demoblaze,200,OK,Thread Group 1-11,text,false,Test failed: text expected not to contain /errorMessage/,281,228,6,6,https://api.demoblaze.com/signup,679,0,275
1650007403575,679,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-11,,false,,281,228,6,6,null,679,2009,275
1650007405955,315,Get Items in Cart,400,Bad Request,Thread Group 1-9,text,false,,409,206,6,6,https://api.demoblaze.com/viewcart,315,0,0
1650007405864,501,Delete Cart,200,OK,Thread Group 1-8,text,true,,230,202,6,6,https://api.demoblaze.com/deletecart,500,0,0
1650007403576,2781,Purchase Items - Transaction Controller,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-8,,true,,2008,1731,6,6,null,2779,8,0
1650007405942,423,Login Into demoblaze,200,OK,Thread Group 1-10,text,true,,272,227,6,6,https://api.demoblaze.com/login,422,0,0
1650007404932,423,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,272,227,6,6,null,422,1011,0
1650007406366,0,Debug Sampler,200,OK,Thread Group 1-10,text,true,,610,0,6,6,null,0,0,0
1650007406271,401,Delete an item,200,OK,Thread Group 1-9,text,true,,267,227,5,5,https://api.demoblaze.com/deleteitem,401,0,0
1650007406370,405,Add To Cart,200,OK,Thread Group 1-10,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,405,0,0
1650007406673,320,Get Items in Cart After deletion,400,Bad Request,Thread Group 1-9,text,false,,409,206,5,5,https://api.demoblaze.com/viewcart,320,0,0
1650007406776,407,Add To Cart,200,OK,Thread Group 1-10,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,407,0,0
1650007406994,395,Delete Cart,200,OK,Thread Group 1-9,text,true,,230,202,5,5,https://api.demoblaze.com/deletecart,395,0,0
1650007404935,2445,Purchase Items - Transaction Controller,,"Number of samples in transaction : 8, number of failing samples : 5",Thread Group 1-9,,false,,2542,1633,5,5,null,2445,9,0
1650007406922,569,Signup into Demoblaze,200,OK,Thread Group 1-12,text,false,Test failed: text expected not to contain /errorMessage/,281,228,4,4,https://api.demoblaze.com/signup,569,0,176
1650007404912,569,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-12,,false,,281,228,4,4,null,569,2011,176
1650007407184,409,Add To Cart,200,OK,Thread Group 1-10,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,409,0,0
1650007407278,419,Login Into demoblaze,200,OK,Thread Group 1-11,text,true,,272,227,5,5,https://api.demoblaze.com/login,418,0,0
1650007406263,419,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,272,227,5,5,null,418,1015,0
1650007407698,0,Debug Sampler,200,OK,Thread Group 1-11,text,true,,610,0,5,5,null,0,0,0
1650007407594,370,Get Items in Cart,200,OK,Thread Group 1-10,text,true,,481,225,5,5,https://api.demoblaze.com/viewcart,370,0,0
1650007407700,405,Add To Cart,200,OK,Thread Group 1-11,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,405,0,0
1650007407965,447,Delete an item,200,OK,Thread Group 1-10,text,true,,230,227,5,5,https://api.demoblaze.com/deleteitem,447,0,0
1650007408106,403,Add To Cart,200,OK,Thread Group 1-11,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,403,0,0
1650007408247,517,Signup into Demoblaze,200,OK,Thread Group 1-13,text,false,Test failed: text expected not to contain /errorMessage/,281,228,5,5,https://api.demoblaze.com/signup,517,0,178
1650007406239,517,SignUp - Transaction Controller,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-13,,false,,281,228,5,5,null,517,2008,178
1650007408413,364,Get Items in Cart After deletion,200,OK,Thread Group 1-10,text,true,,227,225,5,5,https://api.demoblaze.com/viewcart,363,0,0
1650007408510,370,Add To Cart,200,OK,Thread Group 1-11,text,true,,221,284,5,5,https://api.demoblaze.com/addtocart,370,0,0
1650007408497,401,Login Into demoblaze,200,OK,Thread Group 1-12,text,true,,272,227,5,5,https://api.demoblaze.com/login,401,0,0
1650007407492,401,Login - Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,272,227,5,5,null,401,1006,0
1650007408899,0,Debug Sampler,200,OK,Thread Group 1-12,text,true,,575,0,5,5,null,0,0,0
1650007408777,434,Delete Cart,200,OK,Thread Group 1-10,text,true,,234,202,6,6,https://api.demoblaze.com/deletecart,434,0,0
1650007406366,2836,Purchase Items - Transaction Controller,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-10,,true,,1835,1731,6,6,null,2835,9,0
1650007408901,433,Add To Cart,400,Bad Request,Thread Group 1-12,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,433,0,0
1650007408880,557,Get Items in Cart,200,OK,Thread Group 1-11,text,true,,481,225,5,5,https://api.demoblaze.com/viewcart,557,0,0
1650007409335,314,Add To Cart,400,Bad Request,Thread Group 1-12,text,false,,409,264,5,5,https://api.demoblaze.com/addtocart,314,0,0
